iteration,current_hpwl,best_hpwl,current_overflow,best_overflow,current_feasible,best_feasible
1,659619.5,659619.5,0.0,0.0,1,1
2,659619.5,659619.5,0.0,0.0,1,1
3,659619.5,659619.5,0.0,0.0,1,1
4,659619.5,659619.5,0.0,0.0,1,1
5,660541.0,659619.5,0.0,0.0,1,1
6,660903.5,659619.5,0.0,0.0,1,1
7,660163.5,659619.5,0.0,0.0,1,1
8,660114.0,659619.5,0.0,0.0,1,1
9,660114.0,659619.5,0.0,0.0,1,1
10,660114.0,659619.5,0.0,0.0,1,1
11,660114.0,659619.5,0.0,0.0,1,1
12,659102.5,659102.5,0.0,0.0,1,1
13,659102.5,659102.5,0.0,0.0,1,1
14,662509.5,659102.5,0.0,0.0,1,1
15,662509.5,659102.5,0.0,0.0,1,1
16,662509.5,659102.5,0.0,0.0,1,1
17,664200.5,659102.5,0.0,0.0,1,1
18,667165.5,659102.5,0.0,0.0,1,1
19,667115.0,659102.5,0.0,0.0,1,1
20,667115.0,659102.5,0.0,0.0,1,1
21,667115.0,659102.5,0.0,0.0,1,1
22,667083.0,659102.5,0.0,0.0,1,1
23,667083.0,659102.5,0.0,0.0,1,1
24,667083.0,659102.5,0.0,0.0,1,1
25,667165.0,659102.5,0.0,0.0,1,1
26,667165.0,659102.5,0.0,0.0,1,1
27,667165.0,659102.5,0.0,0.0,1,1
28,667334.5,659102.5,0.0,0.0,1,1
29,667334.5,659102.5,0.0,0.0,1,1
30,667228.5,659102.5,0.0,0.0,1,1
31,667228.5,659102.5,0.0,0.0,1,1
32,667923.5,659102.5,0.0,0.0,1,1
33,667923.5,659102.5,0.0,0.0,1,1
34,667923.5,659102.5,0.0,0.0,1,1
35,667923.5,659102.5,0.0,0.0,1,1
36,668037.0,659102.5,0.0,0.0,1,1
37,668037.0,659102.5,0.0,0.0,1,1
38,666159.0,659102.5,0.0,0.0,1,1
39,664819.0,659102.5,0.0,0.0,1,1
40,664819.0,659102.5,0.0,0.0,1,1
41,664819.0,659102.5,0.0,0.0,1,1
42,664819.0,659102.5,0.0,0.0,1,1
43,664819.0,659102.5,0.0,0.0,1,1
44,664819.0,659102.5,0.0,0.0,1,1
45,664819.0,659102.5,0.0,0.0,1,1
46,665311.0,659102.5,0.0,0.0,1,1
47,665118.0,659102.5,0.0,0.0,1,1
48,665118.0,659102.5,0.0,0.0,1,1
49,665136.5,659102.5,0.0,0.0,1,1
50,665136.5,659102.5,0.0,0.0,1,1
51,665136.5,659102.5,0.0,0.0,1,1
52,665510.5,659102.5,0.0,0.0,1,1
53,665510.5,659102.5,0.0,0.0,1,1
54,665961.0,659102.5,0.0,0.0,1,1
55,666190.0,659102.5,0.0,0.0,1,1
56,666190.0,659102.5,0.0,0.0,1,1
57,666190.0,659102.5,0.0,0.0,1,1
58,666190.0,659102.5,0.0,0.0,1,1
59,666190.0,659102.5,0.0,0.0,1,1
60,666190.0,659102.5,0.0,0.0,1,1
61,666190.0,659102.5,0.0,0.0,1,1
62,665991.5,659102.5,0.0,0.0,1,1
63,665991.5,659102.5,0.0,0.0,1,1
64,666194.0,659102.5,0.0,0.0,1,1
65,666194.0,659102.5,0.0,0.0,1,1
66,666899.5,659102.5,0.0,0.0,1,1
67,666899.5,659102.5,0.0,0.0,1,1
68,666899.5,659102.5,0.0,0.0,1,1
69,666899.5,659102.5,0.0,0.0,1,1
70,666586.0,659102.5,0.0,0.0,1,1
71,666608.5,659102.5,0.0,0.0,1,1
72,666315.0,659102.5,0.0,0.0,1,1
73,666766.5,659102.5,0.0,0.0,1,1
74,664253.0,659102.5,0.0,0.0,1,1
75,664253.0,659102.5,0.0,0.0,1,1
76,664253.0,659102.5,0.0,0.0,1,1
77,665944.5,659102.5,0.0,0.0,1,1
78,665944.5,659102.5,0.0,0.0,1,1
79,665677.5,659102.5,0.0,0.0,1,1
80,665677.5,659102.5,0.0,0.0,1,1
81,665677.5,659102.5,0.0,0.0,1,1
82,665677.5,659102.5,0.0,0.0,1,1
83,668329.0,659102.5,0.0,0.0,1,1
84,668512.0,659102.5,0.0,0.0,1,1
85,668512.0,659102.5,0.0,0.0,1,1
86,668512.0,659102.5,0.0,0.0,1,1
87,668512.0,659102.5,0.0,0.0,1,1
