iteration,current_hpwl,best_hpwl,current_overflow,best_overflow,current_feasible,best_feasible
1,242935.8052842037,242935.8052842037,0.0,0.0,1,1
2,242247.8052842037,242247.8052842037,0.0,0.0,1,1
3,241609.48817718672,241609.48817718672,0.0,0.0,1,1
4,241321.08553508486,241321.08553508486,0.0,0.0,1,1
5,241263.58553508486,241263.58553508486,0.0,0.0,1,1
6,241263.58553508486,241263.58553508486,0.0,0.0,1,1
7,243298.5855350849,241263.58553508486,0.0,0.0,1,1
8,243298.5855350849,241263.58553508486,0.0,0.0,1,1
9,244033.5855350849,241263.58553508486,0.0,0.0,1,1
10,244033.5855350849,241263.58553508486,0.0,0.0,1,1
11,244033.5855350849,241263.58553508486,0.0,0.0,1,1
12,250334.32962367823,241263.58553508486,0.0,0.0,1,1
13,250334.32962367823,241263.58553508486,0.0,0.0,1,1
14,250334.32962367823,241263.58553508486,0.0,0.0,1,1
15,250334.32962367823,241263.58553508486,0.0,0.0,1,1
16,250445.32962367823,241263.58553508486,0.0,0.0,1,1
17,250445.32962367823,241263.58553508486,0.0,0.0,1,1
18,250445.32962367823,241263.58553508486,0.0,0.0,1,1
19,250445.32962367823,241263.58553508486,0.0,0.0,1,1
20,250445.32962367823,241263.58553508486,0.0,0.0,1,1
21,250445.32962367823,241263.58553508486,0.0,0.0,1,1
22,250445.32962367823,241263.58553508486,0.0,0.0,1,1
23,250387.01251666126,241263.58553508486,0.0,0.0,1,1
24,250387.01251666126,241263.58553508486,0.0,0.0,1,1
25,250938.51251666126,241263.58553508486,0.0,0.0,1,1
26,250938.51251666126,241263.58553508486,0.0,0.0,1,1
27,251006.51251666126,241263.58553508486,0.0,0.0,1,1
28,251006.51251666126,241263.58553508486,0.0,0.0,1,1
29,251263.51251666126,241263.58553508486,0.0,0.0,1,1
30,253688.3539631528,241263.58553508486,0.0,0.0,1,1
31,253668.3539631528,241263.58553508486,0.0,0.0,1,1
32,253461.3539631528,241263.58553508486,0.0,0.0,1,1
33,253422.3539631528,241263.58553508486,0.0,0.0,1,1
34,254015.67107016974,241263.58553508486,0.0,0.0,1,1
35,254015.67107016974,241263.58553508486,0.0,0.0,1,1
36,254015.67107016974,241263.58553508486,0.0,0.0,1,1
37,254029.67107016974,241263.58553508486,0.0,0.0,1,1
38,256278.32962367823,241263.58553508486,0.0,0.0,1,1
39,258084.82962367823,241263.58553508486,0.0,0.0,1,1
40,258084.82962367823,241263.58553508486,0.0,0.0,1,1
41,258282.82962367823,241263.58553508486,0.0,0.0,1,1
42,257019.32962367823,241263.58553508486,0.0,0.0,1,1
43,254598.82962367823,241263.58553508486,0.0,0.0,1,1
44,253494.82962367823,241263.58553508486,0.0,0.0,1,1
45,253494.82962367823,241263.58553508486,0.0,0.0,1,1
46,252553.32962367823,241263.58553508486,0.0,0.0,1,1
47,250765.32962367823,241263.58553508486,0.0,0.0,1,1
48,249868.32962367823,241263.58553508486,0.0,0.0,1,1
49,249732.82962367823,241263.58553508486,0.0,0.0,1,1
50,249732.82962367823,241263.58553508486,0.0,0.0,1,1
51,249923.32962367823,241263.58553508486,0.0,0.0,1,1
52,249456.32962367823,241263.58553508486,0.0,0.0,1,1
53,248277.32962367823,241263.58553508486,0.0,0.0,1,1
54,248277.32962367823,241263.58553508486,0.0,0.0,1,1
55,248277.32962367823,241263.58553508486,0.0,0.0,1,1
56,248277.32962367823,241263.58553508486,0.0,0.0,1,1
57,248867.01251666126,241263.58553508486,0.0,0.0,1,1
58,248867.01251666126,241263.58553508486,0.0,0.0,1,1
59,250189.51251666126,241263.58553508486,0.0,0.0,1,1
60,250189.51251666126,241263.58553508486,0.0,0.0,1,1
61,254159.90264210186,241263.58553508486,0.0,0.0,1,1
62,254159.90264210186,241263.58553508486,0.0,0.0,1,1
63,253866.24408859335,241263.58553508486,0.0,0.0,1,1
64,253866.24408859335,241263.58553508486,0.0,0.0,1,1
65,253866.24408859335,241263.58553508486,0.0,0.0,1,1
66,253810.24408859335,241263.58553508486,0.0,0.0,1,1
67,253810.24408859335,241263.58553508486,0.0,0.0,1,1
68,254170.24408859335,241263.58553508486,0.0,0.0,1,1
69,253680.29276754244,241263.58553508486,0.0,0.0,1,1
70,255104.7684280679,241263.58553508486,0.0,0.0,1,1
