iteration,current_area,best_area,current_aspect,best_aspect
1,1250895,1250895,6.316853932584269,6.316853932584269
2,1250895,1250895,6.316853932584269,6.316853932584269
3,1253565,1250895,6.330337078651685,6.316853932584269
4,1253565,1250895,6.330337078651685,6.316853932584269
5,1253565,1250895,6.330337078651685,6.316853932584269
6,1242885,1242885,6.276404494382023,6.276404494382023
7,1245110,1242885,6.287640449438202,6.276404494382023
8,1245110,1242885,6.287640449438202,6.276404494382023
9,1245110,1242885,6.287640449438202,6.276404494382023
10,1245110,1242885,6.287640449438202,6.276404494382023
11,1245110,1242885,6.287640449438202,6.276404494382023
12,1245110,1242885,6.287640449438202,6.276404494382023
13,1245110,1242885,6.287640449438202,6.276404494382023
14,1241995,1241995,6.27191011235955,6.27191011235955
15,1241995,1241995,6.27191011235955,6.27191011235955
16,1233985,1233985,6.2314606741573035,6.2314606741573035
17,1233985,1233985,6.2314606741573035,6.2314606741573035
18,1233985,1233985,6.2314606741573035,6.2314606741573035
19,1233985,1233985,6.2314606741573035,6.2314606741573035
20,1187705,1187705,5.997752808988764,5.997752808988764
21,1173910,1173910,5.928089887640449,5.928089887640449
22,1173910,1173910,5.928089887640449,5.928089887640449
23,1173910,1173910,5.928089887640449,5.928089887640449
24,1173910,1173910,5.928089887640449,5.928089887640449
25,1173910,1173910,5.928089887640449,5.928089887640449
26,1173910,1173910,5.928089887640449,5.928089887640449
27,1173910,1173910,5.928089887640449,5.928089887640449
28,1173910,1173910,5.928089887640449,5.928089887640449
29,1173910,1173910,5.928089887640449,5.928089887640449
30,1173910,1173910,5.928089887640449,5.928089887640449
31,1197504,1173910,5.6103896103896105,5.928089887640449
32,1199814,1173910,5.621212121212121,5.928089887640449
33,1199814,1173910,5.621212121212121,5.928089887640449
34,1193346,1173910,5.590909090909091,5.928089887640449
35,1193346,1173910,5.590909090909091,5.928089887640449
36,1193346,1173910,5.590909090909091,5.928089887640449
37,1198428,1173910,5.6147186147186146,5.928089887640449
38,1198428,1173910,5.6147186147186146,5.928089887640449
39,1200738,1173910,5.625541125541125,5.928089887640449
40,1196118,1173910,5.603896103896104,5.928089887640449
41,1155462,1155462,5.413419913419913,5.413419913419913
42,1155462,1155462,5.413419913419913,5.413419913419913
43,1155462,1155462,5.413419913419913,5.413419913419913
44,1159158,1155462,5.43073593073593,5.413419913419913
45,1159158,1155462,5.43073593073593,5.413419913419913
46,1171170,1155462,5.487012987012987,5.413419913419913
47,1171170,1155462,5.487012987012987,5.413419913419913
48,1171170,1155462,5.487012987012987,5.413419913419913
49,1171170,1155462,5.487012987012987,5.413419913419913
50,1171170,1155462,5.487012987012987,5.413419913419913
51,1171170,1155462,5.487012987012987,5.413419913419913
52,1171170,1155462,5.487012987012987,5.413419913419913
53,1171170,1155462,5.487012987012987,5.413419913419913
54,1171170,1155462,5.487012987012987,5.413419913419913
55,1171170,1155462,5.487012987012987,5.413419913419913
56,1171632,1155462,5.489177489177489,5.413419913419913
57,1174404,1155462,5.5021645021645025,5.413419913419913
58,1174404,1155462,5.5021645021645025,5.413419913419913
59,1174404,1155462,5.5021645021645025,5.413419913419913
60,1174404,1155462,5.5021645021645025,5.413419913419913
61,1159620,1155462,5.432900432900433,5.413419913419913
62,1159620,1155462,5.432900432900433,5.413419913419913
