question,dataset,seed,solve_time_seconds,q2_initial_solution_time_seconds,q3_outline_search_time_seconds,total_pipeline_time_seconds
q2,n100,42,6.84795280000003,,,6.84795280000003
q3,n100,42,23.422372900000028,6.221532199999956,23.422372900000028,29.645163700000012
q2,n200,42,22.678705900000068,,,22.678705900000068
q3,n200,42,79.8365652,21.425565199999937,79.8365652,101.26424980000002
q2,n300,42,44.592680799999926,,,44.592680799999926
q3,n300,42,172.23650859999998,43.8635483999999,172.23650859999998,216.10247679999998
