iteration,current_hpwl,best_hpwl,current_overflow,best_overflow,current_feasible,best_feasible
1,250705.5,250705.5,0.0,0.0,1,1
2,250705.5,250705.5,0.0,0.0,1,1
3,250705.5,250705.5,0.0,0.0,1,1
4,250705.5,250705.5,0.0,0.0,1,1
5,250705.5,250705.5,0.0,0.0,1,1
6,250705.5,250705.5,0.0,0.0,1,1
7,250705.5,250705.5,0.0,0.0,1,1
8,250705.5,250705.5,0.0,0.0,1,1
9,250348.5,250348.5,0.0,0.0,1,1
10,249836.5,249836.5,0.0,0.0,1,1
11,249836.5,249836.5,0.0,0.0,1,1
12,249836.5,249836.5,0.0,0.0,1,1
13,249836.5,249836.5,0.0,0.0,1,1
14,249836.5,249836.5,0.0,0.0,1,1
15,249836.5,249836.5,0.0,0.0,1,1
16,250198.5,249836.5,0.0,0.0,1,1
17,250198.5,249836.5,0.0,0.0,1,1
18,250198.5,249836.5,0.0,0.0,1,1
19,250198.5,249836.5,0.0,0.0,1,1
20,250710.5,249836.5,0.0,0.0,1,1
21,250198.5,249836.5,0.0,0.0,1,1
22,250198.5,249836.5,0.0,0.0,1,1
23,250198.5,249836.5,0.0,0.0,1,1
24,250198.5,249836.5,0.0,0.0,1,1
25,250198.5,249836.5,0.0,0.0,1,1
26,250198.5,249836.5,0.0,0.0,1,1
27,250198.5,249836.5,0.0,0.0,1,1
28,250198.5,249836.5,0.0,0.0,1,1
29,250198.5,249836.5,0.0,0.0,1,1
30,250198.5,249836.5,0.0,0.0,1,1
31,250198.5,249836.5,0.0,0.0,1,1
32,250198.5,249836.5,0.0,0.0,1,1
33,250198.5,249836.5,0.0,0.0,1,1
34,249900.5,249836.5,0.0,0.0,1,1
35,249900.5,249836.5,0.0,0.0,1,1
36,249900.5,249836.5,0.0,0.0,1,1
37,249900.5,249836.5,0.0,0.0,1,1
38,250505.0,249836.5,0.0,0.0,1,1
39,250505.0,249836.5,0.0,0.0,1,1
40,250505.0,249836.5,0.0,0.0,1,1
41,250505.0,249836.5,0.0,0.0,1,1
