iteration,current_hpwl,best_hpwl,current_overflow,best_overflow,current_feasible,best_feasible
1,630233.0263160984,627811.565790246,0.0,0.0,1,1
2,630233.0263160984,627811.565790246,0.0,0.0,1,1
3,628424.0263160984,627811.565790246,0.0,0.0,1,1
4,627052.5263160984,627052.5263160984,0.0,0.0,1,1
5,628183.0263160984,627052.5263160984,0.0,0.0,1,1
6,628331.0263160984,627052.5263160984,0.0,0.0,1,1
7,628331.0263160984,627052.5263160984,0.0,0.0,1,1
8,632730.0394741476,627052.5263160984,0.0,0.0,1,1
9,632819.5394741476,627052.5263160984,0.0,0.0,1,1
10,632620.0394741476,627052.5263160984,0.0,0.0,1,1
11,632692.5394741476,627052.5263160984,0.0,0.0,1,1
12,632692.5394741476,627052.5263160984,0.0,0.0,1,1
13,632692.5394741476,627052.5263160984,0.0,0.0,1,1
14,631458.5,627052.5263160984,0.0,0.0,1,1
15,631458.5,627052.5263160984,0.0,0.0,1,1
16,631458.5,627052.5263160984,0.0,0.0,1,1
17,631458.5,627052.5263160984,0.0,0.0,1,1
18,631458.5,627052.5263160984,0.0,0.0,1,1
19,631383.5,627052.5263160984,0.0,0.0,1,1
20,634743.5,627052.5263160984,0.0,0.0,1,1
21,632444.0,627052.5263160984,0.0,0.0,1,1
22,631567.0,627052.5263160984,0.0,0.0,1,1
23,631567.0,627052.5263160984,0.0,0.0,1,1
24,633175.5,627052.5263160984,0.0,0.0,1,1
25,633175.5,627052.5263160984,0.0,0.0,1,1
26,634107.0,627052.5263160984,0.0,0.0,1,1
27,638232.0,627052.5263160984,0.0,0.0,1,1
28,637905.5,627052.5263160984,0.0,0.0,1,1
29,638592.5,627052.5263160984,0.0,0.0,1,1
30,638592.5,627052.5263160984,0.0,0.0,1,1
31,642252.5,627052.5263160984,0.0,0.0,1,1
32,642252.5,627052.5263160984,0.0,0.0,1,1
33,642252.5,627052.5263160984,0.0,0.0,1,1
34,644066.0,627052.5263160984,0.0,0.0,1,1
35,644066.0,627052.5263160984,0.0,0.0,1,1
36,644158.0,627052.5263160984,0.0,0.0,1,1
37,642538.5,627052.5263160984,0.0,0.0,1,1
38,645514.5,627052.5263160984,0.0,0.0,1,1
39,651322.5,627052.5263160984,0.0,0.0,1,1
40,651322.5,627052.5263160984,0.0,0.0,1,1
41,651322.5,627052.5263160984,0.0,0.0,1,1
42,651523.0,627052.5263160984,0.0,0.0,1,1
43,651523.0,627052.5263160984,0.0,0.0,1,1
44,651182.5,627052.5263160984,0.0,0.0,1,1
45,651182.5,627052.5263160984,0.0,0.0,1,1
46,651182.5,627052.5263160984,0.0,0.0,1,1
47,651195.0,627052.5263160984,0.0,0.0,1,1
48,651195.0,627052.5263160984,0.0,0.0,1,1
49,651491.5,627052.5263160984,0.0,0.0,1,1
50,651491.5,627052.5263160984,0.0,0.0,1,1
51,650268.0,627052.5263160984,0.0,0.0,1,1
52,652634.0,627052.5263160984,0.0,0.0,1,1
53,652634.0,627052.5263160984,0.0,0.0,1,1
54,652634.0,627052.5263160984,0.0,0.0,1,1
55,652634.0,627052.5263160984,0.0,0.0,1,1
56,652634.0,627052.5263160984,0.0,0.0,1,1
57,652634.0,627052.5263160984,0.0,0.0,1,1
58,657066.5,627052.5263160984,0.0,0.0,1,1
59,657066.5,627052.5263160984,0.0,0.0,1,1
60,657430.0131580492,627052.5263160984,0.0,0.0,1,1
61,656763.0394741476,627052.5263160984,0.0,0.0,1,1
62,656763.0394741476,627052.5263160984,0.0,0.0,1,1
63,658376.5394741476,627052.5263160984,0.0,0.0,1,1
64,658376.5394741476,627052.5263160984,0.0,0.0,1,1
65,658376.5394741476,627052.5263160984,0.0,0.0,1,1
66,666947.0526321968,627052.5263160984,0.0,0.0,1,1
67,666947.0526321968,627052.5263160984,0.0,0.0,1,1
68,666947.0526321968,627052.5263160984,0.0,0.0,1,1
69,666920.0526321968,627052.5263160984,0.0,0.0,1,1
70,668063.0526321968,627052.5263160984,0.0,0.0,1,1
71,668063.0526321968,627052.5263160984,0.0,0.0,1,1
72,669807.565790246,627052.5263160984,0.0,0.0,1,1
73,669503.0526321968,627052.5263160984,0.0,0.0,1,1
74,669503.0526321968,627052.5263160984,0.0,0.0,1,1
75,669821.5526321968,627052.5263160984,0.0,0.0,1,1
76,670094.0394741476,627052.5263160984,0.0,0.0,1,1
77,670094.0394741476,627052.5263160984,0.0,0.0,1,1
78,677160.0526321968,627052.5263160984,0.0,0.0,1,1
79,677160.0526321968,627052.5263160984,0.0,0.0,1,1
80,675939.0526321968,627052.5263160984,0.0,0.0,1,1
81,675894.0789482951,627052.5263160984,0.0,0.0,1,1
82,680282.0263160984,627052.5263160984,0.0,0.0,1,1
83,680282.0263160984,627052.5263160984,0.0,0.0,1,1
84,680153.0263160984,627052.5263160984,0.0,0.0,1,1
85,680153.0263160984,627052.5263160984,0.0,0.0,1,1
86,678441.5394741476,627052.5263160984,0.0,0.0,1,1
87,678912.0394741476,627052.5263160984,0.0,0.0,1,1
88,678863.5526321968,627052.5263160984,0.0,0.0,1,1
89,679057.065790246,627052.5263160984,0.0,0.0,1,1
90,679057.065790246,627052.5263160984,0.0,0.0,1,1
91,679057.065790246,627052.5263160984,0.0,0.0,1,1
92,680479.5131580492,627052.5263160984,0.0,0.0,1,1
93,680416.5131580492,627052.5263160984,0.0,0.0,1,1
94,680416.5131580492,627052.5263160984,0.0,0.0,1,1
95,680416.5131580492,627052.5263160984,0.0,0.0,1,1
96,680416.5131580492,627052.5263160984,0.0,0.0,1,1
97,680643.5131580492,627052.5263160984,0.0,0.0,1,1
98,680643.5131580492,627052.5263160984,0.0,0.0,1,1
99,680643.5131580492,627052.5263160984,0.0,0.0,1,1
100,679323.5131580492,627052.5263160984,0.0,0.0,1,1
101,676635.0263160984,627052.5263160984,0.0,0.0,1,1
102,676548.0263160984,627052.5263160984,0.0,0.0,1,1
103,679619.5263160984,627052.5263160984,0.0,0.0,1,1
