iteration,current_area,best_area,current_aspect,best_aspect
1,529480,529480,2.223360655737705,2.223360655737705
2,529480,529480,2.223360655737705,2.223360655737705
3,528016,528016,2.2172131147540983,2.2172131147540983
4,528016,528016,2.2172131147540983,2.2172131147540983
5,519232,519232,2.180327868852459,2.180327868852459
6,519232,519232,2.180327868852459,2.180327868852459
7,519232,519232,2.180327868852459,2.180327868852459
8,519232,519232,2.180327868852459,2.180327868852459
9,519232,519232,2.180327868852459,2.180327868852459
10,487176,487176,2.7099056603773586,2.7099056603773586
11,465682,465682,2.8251231527093594,2.8251231527093594
12,465682,465682,2.8251231527093594,2.8251231527093594
13,461622,461622,2.8004926108374386,2.8004926108374386
14,461622,461622,2.8004926108374386,2.8004926108374386
15,461622,461622,2.8004926108374386,2.8004926108374386
16,464654,461622,3.2348284960422165,2.8004926108374386
17,464654,461622,3.2348284960422165,2.8004926108374386
18,464654,461622,3.2348284960422165,2.8004926108374386
19,464654,461622,3.2348284960422165,2.8004926108374386
20,464654,461622,3.2348284960422165,2.8004926108374386
21,464654,461622,3.2348284960422165,2.8004926108374386
22,462001,461622,3.216358839050132,2.8004926108374386
23,440777,440777,3.0686015831134563,3.0686015831134563
24,440777,440777,3.0686015831134563,3.0686015831134563
25,439614,439614,3.0767195767195767,3.0767195767195767
26,440777,439614,3.0686015831134563,3.0767195767195767
27,432060,432060,3.0079155672823217,3.0079155672823217
28,406667,406667,2.8311345646437993,2.8311345646437993
29,415763,406667,2.8944591029023745,2.8311345646437993
30,415763,406667,2.8944591029023745,2.8311345646437993
31,415763,406667,2.8944591029023745,2.8311345646437993
32,415763,406667,2.8944591029023745,2.8311345646437993
33,415763,406667,2.8944591029023745,2.8311345646437993
34,415763,406667,2.8944591029023745,2.8311345646437993
35,415763,406667,2.8944591029023745,2.8311345646437993
36,415763,406667,2.8944591029023745,2.8311345646437993
37,394539,394539,2.746701846965699,2.746701846965699
38,394539,394539,2.746701846965699,2.746701846965699
39,393498,393498,2.753968253968254,2.753968253968254
40,393498,393498,2.753968253968254,2.753968253968254
41,393498,393498,2.753968253968254,2.753968253968254
42,393498,393498,2.753968253968254,2.753968253968254
43,393498,393498,2.753968253968254,2.753968253968254
44,400680,393498,2.804232804232804,2.753968253968254
45,400680,393498,2.804232804232804,2.753968253968254
46,400680,393498,2.804232804232804,2.753968253968254
47,400680,393498,2.804232804232804,2.753968253968254
48,400680,393498,2.804232804232804,2.753968253968254
49,400680,393498,2.804232804232804,2.753968253968254
50,400680,393498,2.804232804232804,2.753968253968254
51,416580,393498,2.6972010178117047,2.753968253968254
52,416580,393498,2.6972010178117047,2.753968253968254
53,416580,393498,2.6972010178117047,2.753968253968254
54,416580,393498,2.6972010178117047,2.753968253968254
55,428763,393498,2.776081424936387,2.753968253968254
56,428763,393498,2.776081424936387,2.753968253968254
57,436623,393498,2.826972010178117,2.753968253968254
58,436623,393498,2.826972010178117,2.753968253968254
59,436623,393498,2.826972010178117,2.753968253968254
60,436623,393498,2.826972010178117,2.753968253968254
61,436623,393498,2.826972010178117,2.753968253968254
62,420903,393498,2.7251908396946565,2.753968253968254
63,420903,393498,2.7251908396946565,2.753968253968254
64,420903,393498,2.7251908396946565,2.753968253968254
65,420903,393498,2.7251908396946565,2.753968253968254
66,420903,393498,2.7251908396946565,2.753968253968254
67,420903,393498,2.7251908396946565,2.753968253968254
68,420903,393498,2.7251908396946565,2.753968253968254
69,420903,393498,2.7251908396946565,2.753968253968254
70,415794,393498,2.6921119592875318,2.753968253968254
71,404397,393498,2.618320610687023,2.753968253968254
72,404397,393498,2.618320610687023,2.753968253968254
73,404397,393498,2.618320610687023,2.753968253968254
74,406362,393498,2.6310432569974553,2.753968253968254
75,406362,393498,2.6310432569974553,2.753968253968254
76,406362,393498,2.6310432569974553,2.753968253968254
77,422868,393498,2.737913486005089,2.753968253968254
